game_id,season,week,game_date,home_team,away_team,home_score,away_score,temperature,wind_speed,is_dome,is_primetime,precipitation,is_division_game,is_playoff
2024_01_BAL_KC,2024,1,2024-09-05,KC,BAL,27.0,20.0,67.0,8.0,False,True,none,False,True
2024_01_GB_PHI,2024,1,2024-09-06,PHI,GB,34.0,29.0,,,False,True,none,False,True
2024_01_PIT_ATL,2024,1,2024-09-08,ATL,PIT,10.0,18.0,,,True,False,none,False,True
2024_01_ARI_BUF,2024,1,2024-09-08,BUF,ARI,34.0,28.0,61.0,20.0,False,False,none,False,True
2024_01_TEN_CHI,2024,1,2024-09-08,CHI,TEN,24.0,17.0,67.0,8.0,False,False,none,False,True
2024_01_NE_CIN,2024,1,2024-09-08,CIN,NE,10.0,16.0,66.0,5.0,False,False,none,False,True
2024_01_HOU_IND,2024,1,2024-09-08,IND,HOU,27.0,29.0,,,True,False,none,False,True
2024_01_JAX_MIA,2024,1,2024-09-08,MIA,JAX,20.0,17.0,91.0,10.0,False,False,none,False,True
2024_01_CAR_NO,2024,1,2024-09-08,NO,CAR,47.0,10.0,,,True,False,none,False,True
2024_01_MIN_NYG,2024,1,2024-09-08,NYG,MIN,6.0,28.0,64.0,10.0,False,False,none,False,True
2024_01_LV_LAC,2024,1,2024-09-08,LAC,LV,22.0,10.0,,,True,False,none,False,True
2024_01_DEN_SEA,2024,1,2024-09-08,SEA,DEN,26.0,20.0,65.0,7.0,False,False,none,False,True
2024_01_DAL_CLE,2024,1,2024-09-08,CLE,DAL,17.0,33.0,69.0,17.0,False,False,none,False,True
2024_01_WAS_TB,2024,1,2024-09-08,TB,WAS,37.0,20.0,93.0,6.0,False,False,none,False,True
2024_01_LA_DET,2024,1,2024-09-08,DET,LA,26.0,20.0,,,True,True,none,False,True
2024_01_NYJ_SF,2024,1,2024-09-09,SF,NYJ,32.0,19.0,76.0,10.0,False,True,none,False,True
2024_02_BUF_MIA,2024,2,2024-09-12,MIA,BUF,10.0,31.0,86.0,3.0,False,True,none,False,True
2024_02_LV_BAL,2024,2,2024-09-15,BAL,LV,23.0,26.0,76.0,10.0,False,False,none,False,True
2024_02_LAC_CAR,2024,2,2024-09-15,CAR,LAC,3.0,26.0,78.0,13.0,False,False,none,False,True
2024_02_NO_DAL,2024,2,2024-09-15,DAL,NO,19.0,44.0,,,True,False,none,False,True
2024_02_TB_DET,2024,2,2024-09-15,DET,TB,16.0,20.0,,,True,False,none,False,True
