player_id,player,recent_team,week,completions,attempts,passing_yards,passing_tds,interception,position,season,carries,rushing_yards,rushing_tds,receptions,targets,receiving_yards,receiving_tds,team,player_name,player_display_name,fantasy_points_ppr,fantasy_points,points
00-0026498,M.Stafford,LA,11,15.0,28.0,130.0,2.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LA,M.Stafford,M.Stafford,13.2,13.2,13.2
00-0026498,M.Stafford,LA,12,25.0,36.0,273.0,3.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LA,M.Stafford,M.Stafford,22.92,22.92,22.92
00-0027973,A.Dalton,CAR,4,5.0,6.0,58.0,1.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CAR,A.Dalton,A.Dalton,6.3199997,6.3199997,6.3199997
00-0027973,A.Dalton,CAR,7,4.0,8.0,60.0,0.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CAR,A.Dalton,A.Dalton,2.3999999,2.3999999,2.3999999
00-0027973,A.Dalton,CAR,8,16.0,31.0,175.0,0.0,1.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CAR,A.Dalton,A.Dalton,7.0,7.0,7.0
00-0028118,T.Taylor,NYJ,2,7.0,13.0,56.0,1.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NYJ,T.Taylor,T.Taylor,6.24,6.24,6.24
00-0028118,T.Taylor,NYJ,3,26.0,39.0,197.0,2.0,1.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NYJ,T.Taylor,T.Taylor,15.879999,15.879999,15.879999
00-0028118,T.Taylor,NYJ,7,10.0,25.0,126.0,0.0,2.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NYJ,T.Taylor,T.Taylor,5.04,5.04,5.04
00-0028118,T.Taylor,NYJ,12,17.0,31.0,222.0,1.0,1.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NYJ,T.Taylor,T.Taylor,12.88,12.88,12.88
00-0029263,R.Wilson,NYG,1,17.0,39.0,168.0,0.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NYG,R.Wilson,R.Wilson,6.72,6.72,6.72
00-0029263,R.Wilson,NYG,2,30.0,44.0,450.0,3.0,1.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NYG,R.Wilson,R.Wilson,30.0,30.0,30.0
00-0029263,R.Wilson,NYG,3,18.0,34.0,160.0,0.0,2.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NYG,R.Wilson,R.Wilson,6.3999996,6.3999996,6.3999996
00-0029263,R.Wilson,NYG,4,1.0,2.0,8.0,0.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NYG,R.Wilson,R.Wilson,0.32,0.32,0.32
00-0029263,R.Wilson,NYG,6,0.0,1.0,0.0,0.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NYG,R.Wilson,R.Wilson,0.0,0.0,0.0
00-0029263,R.Wilson,NYG,10,3.0,9.0,45.0,0.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NYG,R.Wilson,R.Wilson,1.8,1.8,1.8
00-0029604,K.Cousins,ATL,3,5.0,7.0,29.0,0.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATL,K.Cousins,K.Cousins,1.16,1.16,1.16
00-0029604,K.Cousins,ATL,8,21.0,32.0,173.0,0.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATL,K.Cousins,K.Cousins,6.92,6.92,6.92
00-0029604,K.Cousins,ATL,11,6.0,14.0,48.0,0.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATL,K.Cousins,K.Cousins,1.92,1.92,1.92
00-0029604,K.Cousins,ATL,12,16.0,25.0,199.0,2.0,1.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATL,K.Cousins,K.Cousins,15.96,15.96,15.96
00-0030565,G.Smith,LV,1,24.0,37.0,362.0,1.0,1.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LV,G.Smith,G.Smith,18.48,18.48,18.48
00-0030565,G.Smith,LV,2,24.0,46.0,180.0,0.0,3.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LV,G.Smith,G.Smith,7.2,7.2,7.2
00-0030565,G.Smith,LV,3,19.0,35.0,289.0,3.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LV,G.Smith,G.Smith,23.56,23.56,23.56
00-0030565,G.Smith,LV,4,14.0,20.0,117.0,2.0,3.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LV,G.Smith,G.Smith,12.68,12.68,12.68
