game_id,season,week,game_date,home_team,away_team,home_score,away_score,temperature,wind_speed,is_dome,is_primetime,precipitation,is_division_game,is_playoff
2025_01_DAL_PHI,2025,1,2025-09-04,PHI,DAL,24.0,20.0,75.0,11.0,False,True,none,False,True
2025_01_KC_LAC,2025,1,2025-09-05,LAC,KC,27.0,21.0,,,True,True,none,False,True
2025_01_TB_ATL,2025,1,2025-09-07,ATL,TB,20.0,23.0,,,True,False,none,False,True
2025_01_CIN_CLE,2025,1,2025-09-07,CLE,CIN,16.0,17.0,63.0,10.0,False,False,none,False,True
2025_01_MIA_IND,2025,1,2025-09-07,IND,MIA,33.0,8.0,,,True,False,none,False,True
2025_01_CAR_JAX,2025,1,2025-09-07,JAX,CAR,26.0,10.0,85.0,3.0,False,False,none,False,True
2025_01_LV_NE,2025,1,2025-09-07,NE,LV,13.0,20.0,62.0,4.0,False,False,none,False,True
2025_01_ARI_NO,2025,1,2025-09-07,NO,ARI,13.0,20.0,,,True,False,none,False,True
2025_01_PIT_NYJ,2025,1,2025-09-07,NYJ,PIT,32.0,34.0,67.0,3.0,False,False,none,False,True
2025_01_NYG_WAS,2025,1,2025-09-07,WAS,NYG,21.0,6.0,68.0,5.0,False,False,none,False,True
2025_01_TEN_DEN,2025,1,2025-09-07,DEN,TEN,20.0,12.0,84.0,6.0,False,False,none,False,True
2025_01_SF_SEA,2025,1,2025-09-07,SEA,SF,13.0,17.0,67.0,6.0,False,False,none,False,True
2025_01_DET_GB,2025,1,2025-09-07,GB,DET,27.0,13.0,60.0,5.0,False,False,none,False,True
2025_01_HOU_LA,2025,1,2025-09-07,LA,HOU,14.0,9.0,,,True,False,none,False,True
2025_01_BAL_BUF,2025,1,2025-09-07,BUF,BAL,41.0,40.0,58.0,8.0,False,True,none,False,True
2025_01_MIN_CHI,2025,1,2025-09-08,CHI,MIN,24.0,27.0,68.0,6.0,False,True,none,False,True
2025_02_WAS_GB,2025,2,2025-09-11,GB,WAS,27.0,18.0,65.0,7.0,False,True,none,False,True
2025_02_CLE_BAL,2025,2,2025-09-14,BAL,CLE,41.0,17.0,82.0,3.0,False,False,none,False,True
2025_02_JAX_CIN,2025,2,2025-09-14,CIN,JAX,31.0,27.0,85.0,3.0,False,False,none,False,True
2025_02_NYG_DAL,2025,2,2025-09-14,DAL,NYG,40.0,37.0,,,True,False,none,False,True
2025_02_CHI_DET,2025,2,2025-09-14,DET,CHI,52.0,21.0,,,True,False,none,False,True
2025_02_NE_MIA,2025,2,2025-09-14,MIA,NE,27.0,33.0,89.0,4.0,False,False,none,False,True
2025_02_SF_NO,2025,2,2025-09-14,NO,SF,21.0,26.0,,,True,False,none,False,True
2025_02_BUF_NYJ,2025,2,2025-09-14,NYJ,BUF,10.0,30.0,80.0,3.0,False,False,none,False,True
2025_02_SEA_PIT,2025,2,2025-09-14,PIT,SEA,17.0,31.0,79.0,5.0,False,False,none,False,True
2025_02_LA_TEN,2025,2,2025-09-14,TEN,LA,19.0,33.0,83.0,3.0,False,False,none,False,True
2025_02_CAR_ARI,2025,2,2025-09-14,ARI,CAR,27.0,22.0,,,True,False,none,False,True
2025_02_DEN_IND,2025,2,2025-09-14,IND,DEN,29.0,28.0,,,True,False,none,False,True
2025_02_PHI_KC,2025,2,2025-09-14,KC,PHI,17.0,20.0,88.0,12.0,False,False,none,False,True
2025_02_ATL_MIN,2025,2,2025-09-14,MIN,ATL,6.0,22.0,,,True,True,none,False,True
2025_02_TB_HOU,2025,2,2025-09-15,HOU,TB,19.0,20.0,,,True,False,none,False,True
2025_02_LAC_LV,2025,2,2025-09-15,LV,LAC,9.0,20.0,,,True,False,none,False,True
2025_03_MIA_BUF,2025,3,2025-09-18,BUF,MIA,31.0,21.0,68.0,7.0,False,True,none,False,True
2025_03_ATL_CAR,2025,3,2025-09-21,CAR,ATL,30.0,0.0,83.0,5.0,False,False,none,False,True
2025_03_GB_CLE,2025,3,2025-09-21,CLE,GB,13.0,10.0,79.0,10.0,False,False,none,False,True
2025_03_HOU_JAX,2025,3,2025-09-21,JAX,HOU,17.0,10.0,85.0,11.0,False,False,none,False,True
2025_03_CIN_MIN,2025,3,2025-09-21,MIN,CIN,48.0,10.0,,,True,False,none,False,True
2025_03_PIT_NE,2025,3,2025-09-21,NE,PIT,14.0,21.0,66.0,5.0,False,False,none,False,True
2025_03_LA_PHI,2025,3,2025-09-21,PHI,LA,33.0,26.0,73.0,9.0,False,False,none,False,True
2025_03_NYJ_TB,2025,3,2025-09-21,TB,NYJ,29.0,27.0,88.0,5.0,False,False,none,False,True
2025_03_IND_TEN,2025,3,2025-09-21,TEN,IND,20.0,41.0,84.0,8.0,False,False,none,False,True
2025_03_LV_WAS,2025,3,2025-09-21,WAS,LV,41.0,24.0,72.0,6.0,False,False,none,False,True
2025_03_DEN_LAC,2025,3,2025-09-21,LAC,DEN,23.0,20.0,,,True,False,none,False,True
2025_03_NO_SEA,2025,3,2025-09-21,SEA,NO,44.0,13.0,63.0,3.0,False,False,none,False,True
