game_id,season,week,game_date,home_team,away_team,home_score,away_score,temperature,wind_speed,is_dome,is_primetime,precipitation,is_division_game,is_playoff
2023_01_DET_KC,2023,1,2023-09-07,KC,DET,20.0,21.0,,,False,True,none,False,True
2023_01_CAR_ATL,2023,1,2023-09-10,ATL,CAR,24.0,10.0,,,True,False,none,False,True
2023_01_HOU_BAL,2023,1,2023-09-10,BAL,HOU,25.0,9.0,,,False,False,none,False,True
2023_01_CIN_CLE,2023,1,2023-09-10,CLE,CIN,24.0,3.0,,,False,False,none,False,True
2023_01_JAX_IND,2023,1,2023-09-10,IND,JAX,21.0,31.0,,,True,False,none,False,True
2023_01_TB_MIN,2023,1,2023-09-10,MIN,TB,17.0,20.0,,,True,False,none,False,True
2023_01_TEN_NO,2023,1,2023-09-10,NO,TEN,16.0,15.0,,,True,False,none,False,True
2023_01_SF_PIT,2023,1,2023-09-10,PIT,SF,7.0,30.0,,,False,False,none,False,True
2023_01_ARI_WAS,2023,1,2023-09-10,WAS,ARI,20.0,16.0,,,False,False,none,False,True
2023_01_GB_CHI,2023,1,2023-09-10,CHI,GB,20.0,38.0,,,False,False,none,False,True
2023_01_LV_DEN,2023,1,2023-09-10,DEN,LV,16.0,17.0,,,False,False,none,False,True
2023_01_MIA_LAC,2023,1,2023-09-10,LAC,MIA,34.0,36.0,,,True,False,none,False,True
2023_01_PHI_NE,2023,1,2023-09-10,NE,PHI,20.0,25.0,,,False,False,none,False,True
2023_01_LA_SEA,2023,1,2023-09-10,SEA,LA,13.0,30.0,,,False,False,none,False,True
2023_01_DAL_NYG,2023,1,2023-09-10,NYG,DAL,0.0,40.0,,,False,True,none,False,True
2023_01_BUF_NYJ,2023,1,2023-09-11,NYJ,BUF,22.0,16.0,,,False,True,none,False,True
2023_02_MIN_PHI,2023,2,2023-09-14,PHI,MIN,34.0,28.0,,,False,True,none,False,True
2023_02_GB_ATL,2023,2,2023-09-17,ATL,GB,25.0,24.0,,,False,False,none,False,True
2023_02_LV_BUF,2023,2,2023-09-17,BUF,LV,38.0,10.0,,,False,False,none,False,True
2023_02_BAL_CIN,2023,2,2023-09-17,CIN,BAL,24.0,27.0,,,False,False,none,False,True
2023_02_SEA_DET,2023,2,2023-09-17,DET,SEA,31.0,37.0,,,True,False,none,False,True
2023_02_IND_HOU,2023,2,2023-09-17,HOU,IND,20.0,31.0,,,False,False,none,False,True
2023_02_KC_JAX,2023,2,2023-09-17,JAX,KC,9.0,17.0,,,False,False,none,False,True
2023_02_CHI_TB,2023,2,2023-09-17,TB,CHI,27.0,17.0,,,False,False,none,False,True
2023_02_LAC_TEN,2023,2,2023-09-17,TEN,LAC,27.0,24.0,,,False,False,none,False,True
2023_02_NYG_ARI,2023,2,2023-09-17,ARI,NYG,28.0,31.0,,,True,False,none,False,True
2023_02_SF_LA,2023,2,2023-09-17,LA,SF,23.0,30.0,,,True,False,none,False,True
2023_02_NYJ_DAL,2023,2,2023-09-17,DAL,NYJ,30.0,10.0,,,False,False,none,False,True
2023_02_WAS_DEN,2023,2,2023-09-17,DEN,WAS,33.0,35.0,,,False,False,none,False,True
2023_02_MIA_NE,2023,2,2023-09-17,NE,MIA,17.0,24.0,,,False,True,none,False,True
2023_02_NO_CAR,2023,2,2023-09-18,CAR,NO,17.0,20.0,,,False,False,none,False,True
2023_02_CLE_PIT,2023,2,2023-09-18,PIT,CLE,26.0,22.0,,,False,True,none,False,True
2023_03_NYG_SF,2023,3,2023-09-21,SF,NYG,30.0,12.0,77.0,13.0,False,True,none,False,True
2023_03_IND_BAL,2023,3,2023-09-24,BAL,IND,19.0,22.0,68.0,3.0,False,False,none,False,True
2023_03_TEN_CLE,2023,3,2023-09-24,CLE,TEN,27.0,3.0,68.0,5.0,False,False,none,False,True
