game_id,season,week,game_date,home_team,away_team,home_score,away_score,temperature,wind_speed,is_dome,is_primetime,precipitation,is_division_game,is_playoff
2020_01_HOU_KC,2020,1,2020-09-10,KC,HOU,34.0,20.0,56.0,7.0,False,True,none,False,True
2020_01_SEA_ATL,2020,1,2020-09-13,ATL,SEA,25.0,38.0,,,True,False,none,False,True
2020_01_CLE_BAL,2020,1,2020-09-13,BAL,CLE,38.0,6.0,76.0,5.0,False,False,none,False,True
2020_01_NYJ_BUF,2020,1,2020-09-13,BUF,NYJ,27.0,17.0,67.0,15.0,False,False,none,False,True
2020_01_LV_CAR,2020,1,2020-09-13,CAR,LV,30.0,34.0,81.0,5.0,False,False,none,False,True
2020_01_CHI_DET,2020,1,2020-09-13,DET,CHI,23.0,27.0,,,True,False,none,False,True
2020_01_IND_JAX,2020,1,2020-09-13,JAX,IND,27.0,20.0,80.0,3.0,False,False,none,False,True
2020_01_GB_MIN,2020,1,2020-09-13,MIN,GB,34.0,43.0,,,True,False,none,False,True
2020_01_MIA_NE,2020,1,2020-09-13,NE,MIA,21.0,11.0,70.0,8.0,False,False,none,False,True
2020_01_PHI_WAS,2020,1,2020-09-13,WAS,PHI,27.0,17.0,76.0,5.0,False,False,none,False,True
2020_01_LAC_CIN,2020,1,2020-09-13,CIN,LAC,13.0,16.0,83.0,6.0,False,False,none,False,True
2020_01_TB_NO,2020,1,2020-09-13,NO,TB,34.0,23.0,,,True,False,none,False,True
2020_01_ARI_SF,2020,1,2020-09-13,SF,ARI,20.0,24.0,66.0,6.0,False,False,none,False,True
2020_01_DAL_LA,2020,1,2020-09-13,LA,DAL,20.0,17.0,,,True,True,none,False,True
2020_01_PIT_NYG,2020,1,2020-09-14,NYG,PIT,16.0,26.0,71.0,5.0,False,False,none,False,True
2020_01_TEN_DEN,2020,1,2020-09-14,DEN,TEN,14.0,16.0,79.0,10.0,False,False,none,False,True
2020_02_CIN_CLE,2020,2,2020-09-17,CLE,CIN,35.0,30.0,65.0,8.0,False,True,none,False,True
2020_02_NYG_CHI,2020,2,2020-09-20,CHI,NYG,17.0,13.0,66.0,12.0,False,False,none,False,True
2020_02_ATL_DAL,2020,2,2020-09-20,DAL,ATL,40.0,39.0,,,True,False,none,False,True
2020_02_DET_GB,2020,2,2020-09-20,GB,DET,42.0,21.0,66.0,12.0,False,False,none,False,True
2020_02_MIN_IND,2020,2,2020-09-20,IND,MIN,28.0,11.0,,,True,False,none,False,True
2020_02_BUF_MIA,2020,2,2020-09-20,MIA,BUF,28.0,31.0,90.0,5.0,False,False,none,False,True
2020_02_SF_NYJ,2020,2,2020-09-20,NYJ,SF,13.0,31.0,61.0,7.0,False,False,none,False,True
2020_02_LA_PHI,2020,2,2020-09-20,PHI,LA,19.0,37.0,62.0,12.0,False,False,none,False,True
2020_02_DEN_PIT,2020,2,2020-09-20,PIT,DEN,26.0,21.0,64.0,5.0,False,False,none,False,True
2020_02_CAR_TB,2020,2,2020-09-20,TB,CAR,31.0,17.0,85.0,17.0,False,False,none,False,True
2020_02_JAX_TEN,2020,2,2020-09-20,TEN,JAX,33.0,30.0,72.0,5.0,False,False,none,False,True
2020_02_WAS_ARI,2020,2,2020-09-20,ARI,WAS,30.0,15.0,,,True,False,none,False,True
2020_02_BAL_HOU,2020,2,2020-09-20,HOU,BAL,16.0,33.0,,,True,False,none,False,True
2020_02_KC_LAC,2020,2,2020-09-20,LAC,KC,20.0,23.0,,,True,False,none,False,True
2020_02_NE_SEA,2020,2,2020-09-20,SEA,NE,35.0,30.0,70.0,5.0,False,True,none,False,True
2020_02_NO_LV,2020,2,2020-09-21,LV,NO,34.0,24.0,,,True,True,none,False,True
2020_03_MIA_JAX,2020,3,2020-09-24,JAX,MIA,13.0,31.0,81.0,12.0,False,True,none,False,True
2020_03_CHI_ATL,2020,3,2020-09-27,ATL,CHI,26.0,30.0,,,True,False,none,False,True
2020_03_LA_BUF,2020,3,2020-09-27,BUF,LA,35.0,32.0,79.0,16.0,False,False,none,False,True
2020_03_WAS_CLE,2020,3,2020-09-27,CLE,WAS,34.0,20.0,73.0,18.0,False,False,none,False,True
2020_03_TEN_MIN,2020,3,2020-09-27,MIN,TEN,30.0,31.0,,,True,False,none,False,True
2020_03_LV_NE,2020,3,2020-09-27,NE,LV,36.0,20.0,73.0,8.0,False,False,none,False,True
2020_03_SF_NYG,2020,3,2020-09-27,NYG,SF,9.0,36.0,75.0,2.0,False,False,none,False,True
2020_03_CIN_PHI,2020,3,2020-09-27,PHI,CIN,23.0,23.0,76.0,5.0,False,False,none,False,True
2020_03_HOU_PIT,2020,3,2020-09-27,PIT,HOU,28.0,21.0,79.0,6.0,False,False,none,False,True
2020_03_NYJ_IND,2020,3,2020-09-27,IND,NYJ,36.0,7.0,,,True,False,none,False,True
2020_03_CAR_LAC,2020,3,2020-09-27,LAC,CAR,16.0,21.0,,,True,False,none,False,True
2020_03_DET_ARI,2020,3,2020-09-27,ARI,DET,23.0,26.0,,,True,False,none,False,True
2020_03_TB_DEN,2020,3,2020-09-27,DEN,TB,10.0,28.0,55.0,7.0,False,False,none,False,True
2020_03_DAL_SEA,2020,3,2020-09-27,SEA,DAL,38.0,31.0,63.0,3.0,False,False,none,False,True
2020_03_GB_NO,2020,3,2020-09-27,NO,GB,30.0,37.0,,,True,True,none,False,True
2020_03_KC_BAL,2020,3,2020-09-28,BAL,KC,20.0,34.0,73.0,8.0,False,True,none,False,True
2020_04_DEN_NYJ,2020,4,2020-10-01,NYJ,DEN,28.0,37.0,64.0,6.0,False,True,none,False,True
2020_04_ARI_CAR,2020,4,2020-10-04,CAR,ARI,31.0,21.0,68.0,8.0,False,False,none,False,True
2020_04_JAX_CIN,2020,4,2020-10-04,CIN,JAX,33.0,25.0,64.0,6.0,False,False,none,False,True
2020_04_CLE_DAL,2020,4,2020-10-04,DAL,CLE,38.0,49.0,,,True,False,none,False,True
2020_04_NO_DET,2020,4,2020-10-04,DET,NO,29.0,35.0,,,True,False,none,False,True
2020_04_MIN_HOU,2020,4,2020-10-04,HOU,MIN,23.0,31.0,,,True,False,none,False,True
2020_04_SEA_MIA,2020,4,2020-10-04,MIA,SEA,23.0,31.0,86.0,13.0,False,False,none,False,True
2020_04_LAC_TB,2020,4,2020-10-04,TB,LAC,38.0,31.0,75.0,6.0,False,False,none,False,True
2020_04_BAL_WAS,2020,4,2020-10-04,WAS,BAL,17.0,31.0,65.0,5.0,False,False,none,False,True
