game_id,season,week,game_date,home_team,away_team,home_score,away_score,temperature,wind_speed,is_dome,is_primetime,precipitation,is_division_game,is_playoff
2021_01_DAL_TB,2021,1,2021-09-09,TB,DAL,31.0,29.0,82.0,9.0,False,True,none,False,True
2021_01_PHI_ATL,2021,1,2021-09-12,ATL,PHI,6.0,32.0,,,False,False,none,False,True
2021_01_PIT_BUF,2021,1,2021-09-12,BUF,PIT,16.0,23.0,73.0,17.0,False,False,none,False,True
2021_01_NYJ_CAR,2021,1,2021-09-12,CAR,NYJ,19.0,14.0,81.0,0.0,False,False,none,False,True
2021_01_MIN_CIN,2021,1,2021-09-12,CIN,MIN,27.0,24.0,81.0,15.0,False,False,none,False,True
2021_01_SF_DET,2021,1,2021-09-12,DET,SF,33.0,41.0,,,True,False,none,False,True
2021_01_JAX_HOU,2021,1,2021-09-12,HOU,JAX,37.0,21.0,,,True,False,none,False,True
2021_01_SEA_IND,2021,1,2021-09-12,IND,SEA,16.0,28.0,,,True,False,none,False,True
2021_01_ARI_TEN,2021,1,2021-09-12,TEN,ARI,13.0,38.0,82.0,8.0,False,False,none,False,True
2021_01_LAC_WAS,2021,1,2021-09-12,WAS,LAC,16.0,20.0,81.0,4.0,False,False,none,False,True
2021_01_CLE_KC,2021,1,2021-09-12,KC,CLE,33.0,29.0,88.0,8.0,False,False,none,False,True
2021_01_MIA_NE,2021,1,2021-09-12,NE,MIA,16.0,17.0,81.0,15.0,False,False,none,False,True
2021_01_GB_NO,2021,1,2021-09-12,NO,GB,38.0,3.0,86.0,9.0,False,False,none,False,True
2021_01_DEN_NYG,2021,1,2021-09-12,NYG,DEN,13.0,27.0,82.0,19.0,False,False,none,False,True
2021_01_CHI_LA,2021,1,2021-09-12,LA,CHI,34.0,14.0,,,True,True,none,False,True
2021_01_BAL_LV,2021,1,2021-09-13,LV,BAL,33.0,27.0,,,True,True,none,False,True
2021_02_NYG_WAS,2021,2,2021-09-16,WAS,NYG,30.0,29.0,71.0,0.0,False,True,none,False,True
2021_02_NO_CAR,2021,2,2021-09-19,CAR,NO,26.0,7.0,83.0,4.0,False,False,none,False,True
2021_02_CIN_CHI,2021,2,2021-09-19,CHI,CIN,20.0,17.0,80.0,0.0,False,False,none,False,True
2021_02_HOU_CLE,2021,2,2021-09-19,CLE,HOU,31.0,21.0,75.0,12.0,False,False,none,False,True
2021_02_LA_IND,2021,2,2021-09-19,IND,LA,24.0,27.0,,,True,False,none,False,True
2021_02_DEN_JAX,2021,2,2021-09-19,JAX,DEN,13.0,23.0,80.0,7.0,False,False,none,False,True
2021_02_BUF_MIA,2021,2,2021-09-19,MIA,BUF,0.0,35.0,89.0,7.0,False,False,none,False,True
2021_02_NE_NYJ,2021,2,2021-09-19,NYJ,NE,6.0,25.0,72.0,13.0,False,False,none,False,True
2021_02_SF_PHI,2021,2,2021-09-19,PHI,SF,11.0,17.0,76.0,13.0,False,False,none,False,True
2021_02_LV_PIT,2021,2,2021-09-19,PIT,LV,17.0,26.0,77.0,4.0,False,False,none,False,True
2021_02_MIN_ARI,2021,2,2021-09-19,ARI,MIN,34.0,33.0,,,True,False,none,False,True
2021_02_ATL_TB,2021,2,2021-09-19,TB,ATL,48.0,25.0,85.0,0.0,False,False,none,False,True
2021_02_DAL_LAC,2021,2,2021-09-19,LAC,DAL,17.0,20.0,,,True,False,none,False,True
2021_02_TEN_SEA,2021,2,2021-09-19,SEA,TEN,30.0,33.0,62.0,14.0,False,False,none,False,True
2021_02_KC_BAL,2021,2,2021-09-19,BAL,KC,36.0,35.0,82.0,8.0,False,True,none,False,True
2021_02_DET_GB,2021,2,2021-09-20,GB,DET,35.0,17.0,73.0,12.0,False,True,none,False,True
2021_03_CAR_HOU,2021,3,2021-09-23,HOU,CAR,9.0,24.0,,,True,True,none,False,True
2021_03_WAS_BUF,2021,3,2021-09-26,BUF,WAS,43.0,21.0,67.0,21.0,False,False,none,False,True
2021_03_CHI_CLE,2021,3,2021-09-26,CLE,CHI,26.0,6.0,70.0,22.0,False,False,none,False,True
2021_03_BAL_DET,2021,3,2021-09-26,DET,BAL,17.0,19.0,,,True,False,none,False,True
2021_03_ARI_JAX,2021,3,2021-09-26,JAX,ARI,19.0,31.0,81.0,4.0,False,False,none,False,True
2021_03_LAC_KC,2021,3,2021-09-26,KC,LAC,24.0,30.0,81.0,19.0,False,False,none,False,True
2021_03_NO_NE,2021,3,2021-09-26,NE,NO,13.0,28.0,73.0,11.0,False,False,none,False,True
2021_03_ATL_NYG,2021,3,2021-09-26,NYG,ATL,14.0,17.0,69.0,13.0,False,False,none,False,True
2021_03_CIN_PIT,2021,3,2021-09-26,PIT,CIN,10.0,24.0,67.0,9.0,False,False,none,False,True
2021_03_IND_TEN,2021,3,2021-09-26,TEN,IND,25.0,16.0,72.0,4.0,False,False,none,False,True
2021_03_NYJ_DEN,2021,3,2021-09-26,DEN,NYJ,26.0,0.0,82.0,6.0,False,False,none,False,True
2021_03_MIA_LV,2021,3,2021-09-26,LV,MIA,31.0,28.0,,,True,False,none,False,True
2021_03_TB_LA,2021,3,2021-09-26,LA,TB,34.0,24.0,,,True,False,none,False,True
2021_03_SEA_MIN,2021,3,2021-09-26,MIN,SEA,30.0,17.0,,,True,False,none,False,True
2021_03_GB_SF,2021,3,2021-09-26,SF,GB,28.0,30.0,69.0,15.0,False,True,none,False,True
2021_03_PHI_DAL,2021,3,2021-09-27,DAL,PHI,41.0,21.0,,,False,True,none,False,True
2021_04_JAX_CIN,2021,4,2021-09-30,CIN,JAX,24.0,21.0,65.0,0.0,False,True,none,False,True
2021_04_WAS_ATL,2021,4,2021-10-03,ATL,WAS,30.0,34.0,,,False,False,none,False,True
2021_04_HOU_BUF,2021,4,2021-10-03,BUF,HOU,40.0,0.0,67.0,12.0,False,False,none,False,True
2021_04_DET_CHI,2021,4,2021-10-03,CHI,DET,24.0,14.0,72.0,4.0,False,False,none,False,True
2021_04_CAR_DAL,2021,4,2021-10-03,DAL,CAR,36.0,28.0,,,True,False,none,False,True
2021_04_IND_MIA,2021,4,2021-10-03,MIA,IND,17.0,27.0,85.0,16.0,False,False,none,False,True
2021_04_CLE_MIN,2021,4,2021-10-03,MIN,CLE,7.0,14.0,,,True,False,none,False,True
2021_04_NYG_NO,2021,4,2021-10-03,NO,NYG,21.0,27.0,,,True,False,none,False,True
