"season","week","team","season_type","opponent_team","completions","attempts","passing_yards","passing_tds","passing_interceptions","sacks_suffered","sack_yards_lost","sack_fumbles","sack_fumbles_lost","passing_air_yards","passing_yards_after_catch","passing_first_downs","passing_epa","passing_cpoe","passing_2pt_conversions","carries","rushing_yards","rushing_tds","rushing_fumbles","rushing_fumbles_lost","rushing_first_downs","rushing_epa","rushing_2pt_conversions","receptions","targets","receiving_yards","receiving_tds","receiving_fumbles","receiving_fumbles_lost","receiving_air_yards","receiving_yards_after_catch","receiving_first_downs","receiving_epa","receiving_2pt_conversions","special_teams_tds","def_tackles_solo","def_tackles_with_assist","def_tackle_assists","def_tackles_for_loss","def_tackles_for_loss_yards","def_fumbles_forced","def_sacks","def_sack_yards","def_qb_hits","def_interceptions","def_interception_yards","def_pass_defended","def_tds","def_fumbles","def_safeties","misc_yards","fumble_recovery_own","fumble_recovery_yards_own","fumble_recovery_opp","fumble_recovery_yards_opp","fumble_recovery_tds","penalties","penalty_yards","timeouts","punt_returns","punt_return_yards","kickoff_returns","kickoff_return_yards","fg_made","fg_att","fg_missed","fg_blocked","fg_long","fg_pct","fg_made_0_19","fg_made_20_29","fg_made_30_39","fg_made_40_49","fg_made_50_59","fg_made_60_","fg_missed_0_19","fg_missed_20_29","fg_missed_30_39","fg_missed_40_49","fg_missed_50_59","fg_missed_60_","fg_made_list","fg_missed_list","fg_blocked_list","fg_made_distance","fg_missed_distance","fg_blocked_distance","pat_made","pat_att","pat_missed","pat_blocked","pat_pct","gwfg_made","gwfg_att","gwfg_missed","gwfg_blocked","gwfg_distance"
2024,1,"DET","REG","LA",18,28,217,1,1,2,-17,0,0,187,148,7,-4.80845640836505,-7.54981998886381,0,31,163,2,0,0,12,11.2608164240955,0,18,28,217,1,0,0,187,148,7,-2.12815399093542,0,0,38,8,30,7,16,0,2,13,12,1,0,5,0,0,0,0,0,0,0,0,0,6,56,3,3,18,0,0,2,2,0,0,32,1,0,1,1,0,0,0,0,0,0,0,0,0,"25;32",NA,NA,57,0,0,2,2,0,0,1,0,0,0,0,0
2024,1,"GB","REG","PHI",17,35,260,2,1,2,-9,0,0,314,138,9,2.37368127708771,-12.1775641106069,0,21,163,1,1,0,7,8.3907084027743,0,17,32,260,2,0,0,314,138,9,4.61164697695506,0,0,40,8,26,7,26,0,2,12,5,2,34,6,0,0,0,0,1,1,1,1,0,10,71,7,0,0,1,24,3,4,1,0,31,0.75,0,2,1,0,0,0,0,0,0,1,0,0,"31;23;26","43",NA,80,43,0,2,2,0,0,1,0,0,0,0,0
2024,1,"HOU","REG","IND",24,32,234,2,0,4,-30,0,0,252,79,13,7.50769699631289,9.76607309233758,0,40,213,1,0,0,12,1.19469950009091,0,24,31,234,2,0,0,252,79,13,15.3565443681043,0,0,21,6,18,5,19,0,2,13,2,1,0,7,0,0,0,0,0,0,0,0,0,5,30,5,0,0,0,0,3,3,0,0,51,1,0,0,0,0,3,0,0,0,0,0,0,0,"51;50;51",NA,NA,152,0,0,2,2,0,0,1,0,0,0,0,0
2024,1,"IND","REG","HOU",9,19,212,2,1,2,-13,0,0,312,51,4,-3.03312579565682,-14.2129233793208,0,22,104,2,0,0,9,5.31618034675205,0,9,19,212,2,0,0,312,51,4,1.58962117438205,0,0,42,13,29,4,22,0,4,30,10,0,0,1,0,0,0,0,0,0,0,0,0,4,20,3,0,0,4,109,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,3,3,0,0,1,0,0,0,0,0
2024,1,"JAX","REG","MIA",12,21,162,1,0,3,-23,0,0,206,40,8,1.7065504872973,-0.241275366983915,0,26,128,1,1,1,7,-9.10473294125404,0,12,19,162,1,0,0,206,40,8,5.94693502539303,0,0,38,4,22,9,32,0,3,19,4,0,0,5,0,0,0,0,1,1,0,0,0,8,71,6,1,3,2,44,1,1,0,0,53,1,0,0,0,0,1,0,0,0,0,0,0,0,"53",NA,NA,53,0,0,2,2,0,0,1,0,0,0,0,0
2024,1,"KC","REG","BAL",20,28,291,1,1,2,-10,0,0,165,188,15,11.084406207205,4.19129640967757,0,20,72,2,0,0,4,-0.87250130737084,0,20,27,291,1,0,0,165,188,15,14.5091697681986,0,0,46,3,23,3,9,1,1,6,1,0,0,4,0,0,0,0,0,0,1,1,0,6,45,3,0,0,2,57,2,2,0,0,32,1,0,0,2,0,0,0,0,0,0,0,0,0,"32;31",NA,NA,63,0,0,3,3,0,0,1,0,0,0,0,0
2024,1,"LA","REG","DET",34,49,317,1,1,2,-13,0,0,290,171,15,4.53642090752381,0.365350022912025,0,23,83,1,0,0,8,-1.28913379012989,0,34,48,317,1,0,0,290,171,15,6.84921714415084,0,0,29,7,37,3,18,0,2,17,5,1,0,3,0,0,0,0,0,0,0,0,0,6,50,3,1,0,1,20,2,2,0,0,41,1,0,1,0,1,0,0,0,0,0,0,0,0,"41;26",NA,NA,67,0,0,2,2,0,0,1,0,0,0,0,0
2024,1,"LAC","REG","LV",17,26,144,1,0,1,-4,0,0,163,77,6,-4.8758797533951,-0.624557137489319,0,27,176,1,0,0,5,0.271462625518441,0,17,25,144,1,0,0,163,77,6,-1.90974358365882,0,0,41,3,19,3,11,1,3,22,6,1,3,5,0,0,0,0,0,0,2,2,0,7,50,1,1,9,1,35,3,3,0,0,53,1,0,2,0,0,1,0,0,0,0,0,0,0,"53;25;24",NA,NA,102,0,0,1,1,0,0,1,0,0,0,0,0
2024,1,"LV","REG","LAC",25,33,257,1,1,4,-32,1,1,149,138,12,-1.24270464111188,1.04402313008904,0,22,71,0,1,1,2,-18.5127588156611,0,25,32,257,1,0,0,149,138,12,11.2888168549284,0,0,29,5,21,2,5,0,1,4,5,0,0,2,0,0,0,0,0,0,0,0,0,2,15,3,2,28,1,28,1,2,1,0,32,0.5,0,0,1,0,0,0,0,0,0,1,0,0,"32","49",NA,32,49,0,1,1,0,0,1,0,0,0,0,0
2024,1,"MIA","REG","JAX",23,37,338,1,0,3,-19,0,0,228,243,11,4.32355223867689,-7.65526642402013,0,25,81,1,0,0,5,-2.75878641586401,0,23,36,338,1,0,0,228,243,11,8.49311227122434,0,0,30,4,20,6,27,2,3,23,4,0,0,1,0,0,0,0,0,0,1,1,0,9,103,6,3,13,0,0,2,3,1,0,52,0.666666666666667,0,0,1,0,1,0,0,0,0,1,0,0,"37;52","42",NA,89,42,0,2,2,0,0,1,1,1,0,0,52
2024,1,"MIN","REG","NYG",19,24,208,2,1,1,-7,0,0,195,68,8,9.55471640836913,16.6997987291087,0,26,111,1,0,0,7,0.806603261618875,0,19,23,208,2,1,1,195,68,8,12.9140575617785,0,0,34,8,24,6,27,0,5,20,12,2,10,6,1,0,0,0,0,0,0,0,0,7,63,3,1,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,4,4,0,0,1,0,0,0,0,0
2024,1,"NE","REG","CIN",15,24,121,0,0,1,-1,0,0,154,54,6,-1.96937973459018,1.13270477108334,0,39,170,1,1,0,11,0.366571738210041,0,15,23,121,0,0,0,154,54,6,-0.554555987701683,0,0,29,3,23,3,6,3,3,10,4,0,0,3,0,0,0,0,1,1,2,2,0,5,40,2,1,10,1,27,3,3,0,0,37,1,0,0,3,0,0,0,0,0,0,0,0,0,"32;35;37",NA,NA,104,0,0,1,1,0,0,1,0,0,0,0,0
2024,1,"NO","REG","CAR",19,24,200,3,0,1,-1,0,0,208,96,7,7.99349076195109,10.192334651947,0,37,180,2,0,0,14,4.76734847803894,0,19,24,200,3,0,0,208,96,7,8.90482155314136,0,0,30,3,23,4,28,1,4,26,5,2,2,6,0,1,0,0,0,0,1,1,0,10,95,3,4,60,2,65,4,4,0,0,57,1,0,0,1,1,2,0,0,0,0,0,0,0,"57;44;52;39",NA,NA,192,0,0,5,5,0,0,1,0,0,0,0,0
