game_id,week,player_id,player_name,assist_tackles,qb_hits,sacks,solo_tackles,tfls,total_tackles
2025_01_BAL_BUF,1,00-0036914,G.Rousseau,0.0,0.0,0.0,3.0,0.0,3.0
2025_01_BAL_BUF,1,00-0036940,O.Oweh,0.0,1.0,0.0,0.0,0.0,0.0
2025_01_BAL_BUF,1,00-0037254,T.Bernard,0.0,0.0,0.0,1.0,1.0,1.0
2025_01_BAL_BUF,1,00-0037288,C.Benford,2.0,0.0,0.0,5.0,0.0,6.0
2025_01_BAL_BUF,1,00-0037633,J.Hummel,0.0,0.0,0.0,1.0,0.0,1.0
2025_01_BAL_BUF,1,00-0037756,T.Jones,1.0,0.0,0.0,1.0,1.0,1.5
2025_01_BAL_BUF,1,00-0038038,K.Hamilton,2.0,0.0,0.0,6.0,0.0,7.0
2025_01_BAL_BUF,1,00-0038504,T.Simpson,0.0,0.0,0.0,0.0,1.0,0.0
2025_01_BAL_BUF,1,00-0038505,T.Robinson,1.0,0.0,0.0,4.0,0.0,4.5
2025_01_BAL_BUF,1,00-0038557,D.Williams,0.0,0.0,0.0,4.0,0.0,4.0
2025_01_BAL_BUF,1,00-0039232,N.Wiggins,0.0,0.0,0.0,5.0,0.0,5.0
2025_01_BAL_BUF,1,00-0039234,T.Tampa,0.0,0.0,0.0,2.0,0.0,2.0
2025_01_BAL_BUF,1,00-0039763,J.Andreessen,1.0,0.0,0.0,0.0,0.0,0.5
2025_01_BAL_BUF,1,00-0039796,R.Ali,0.0,0.0,0.0,1.0,0.0,1.0
2025_01_BAL_BUF,1,00-0039872,C.Bishop,0.0,0.0,0.0,4.0,0.0,4.0
2025_01_BAL_BUF,1,00-0039879,J.Solomon,0.0,1.0,0.0,0.0,0.0,0.0
2025_01_BAL_BUF,1,00-0040069,T.Buchanan,1.0,0.0,0.0,3.0,0.0,3.5
2025_01_BAL_BUF,1,00-0040074,T.Loop,0.0,0.0,0.0,1.0,0.0,1.0
2025_01_BAL_BUF,1,00-0040197,D.Strong,0.0,0.0,0.0,2.0,0.0,2.0
2025_01_BAL_BUF,1,00-0040636,K.Martin,0.0,0.0,0.0,1.0,0.0,1.0
2025_01_BAL_BUF,1,00-0040688,M.Starks,0.0,0.0,0.0,3.0,0.0,3.0
2025_01_BAL_BUF,1,00-0040722,M.Green,0.0,0.0,0.0,1.0,0.0,1.0
2025_01_CAR_JAX,1,00-0032164,A.Armstead,0.0,1.0,0.0,0.0,0.0,0.0
