game_id,week,player_id,player_name,team,rz_rush_att,rz_rush_tds,rz_rush_yards,rz_targets,rz_receptions,rz_rec_tds,rz_rec_yards,rz_opportunities,rz_total_tds,rz_opportunities_avg,rz_total_tds_avg,rz_rush_att_avg,rz_targets_avg
2025_05_KC_JAX,5,00-0030506,T.Kelce,KC,0,0.0,0.0,2.0,2.0,1.0,16.0,2.0,1.0,1.0,0.0,0.0,1.0
2025_06_DET_KC,6,00-0030506,T.Kelce,KC,0,0.0,0.0,1.0,1.0,0.0,17.0,1.0,0.0,1.2,0.2,0.0,1.2
2025_08_WAS_KC,8,00-0030506,T.Kelce,KC,0,0.0,0.0,1.0,1.0,1.0,10.0,1.0,1.0,1.1666666666666667,0.16666666666666666,0.0,1.1666666666666667
2025_09_KC_BUF,9,00-0030506,T.Kelce,KC,0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.1428571428571428,0.2857142857142857,0.0,1.1428571428571428
2025_10_BAL_MIN,10,00-0030564,D.Hopkins,BAL,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2025_05_LV_IND,5,00-0030565,G.Smith,LV,2,0.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2025_11_DAL_LV,11,00-0030565,G.Smith,LV,2,0.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0
2025_04_NO_BUF,4,00-0031236,B.Cooks,NO,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2025_02_LA_TEN,2,00-0031381,D.Adams,LA,0,0.0,0.0,5.0,1.0,1.0,16.0,5.0,1.0,0.0,0.0,0.0,0.0
2025_03_LA_PHI,3,00-0031381,D.Adams,LA,0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,5.0,1.0,0.0,5.0
2025_04_IND_LA,4,00-0031381,D.Adams,LA,0,0.0,0.0,2.0,1.0,1.0,10.0,2.0,1.0,4.0,0.5,0.0,4.0
2025_06_LA_BAL,6,00-0031381,D.Adams,LA,0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,3.3333333333333335,0.6666666666666666,0.0,3.3333333333333335
2025_07_LA_JAX,7,00-0031381,D.Adams,LA,0,0.0,0.0,4.0,3.0,3.0,4.0,4.0,3.0,3.25,0.5,0.0,3.25
2025_09_NO_LA,9,00-0031381,D.Adams,LA,0,0.0,0.0,3.0,2.0,2.0,7.0,3.0,2.0,3.4,1.0,0.0,3.4
2025_10_LA_SF,10,00-0031381,D.Adams,LA,0,0.0,0.0,2.0,2.0,1.0,15.0,2.0,1.0,3.3333333333333335,1.1666666666666667,0.0,3.3333333333333335
