player_id,player_name,team,week,season,game_id,position,passing_yards,passing_tds,completions,attempts,interceptions,rushing_yards,rushing_tds,carries,receiving_yards,receiving_tds,receptions,targets,season_avg_passing_yards,l3_avg_passing_yards,season_avg_passing_tds,l3_avg_passing_tds,season_avg_rushing_yards,l3_avg_rushing_yards,season_avg_rushing_tds,l3_avg_rushing_tds,season_avg_receiving_yards,l3_avg_receiving_yards,season_avg_receiving_tds,l3_avg_receiving_tds,season_avg_receptions,l3_avg_receptions,season_avg_carries,l3_avg_carries,games_played
00-0023459,A.Rodgers,PIT,11,2025,2025_11_CIN_PIT,RB,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,17.88235294117647,21.0,0.11764705882352941,0.3333333333333333,10.764705882352942,6.0,0.11764705882352941,0.0,0.8823529411764706,0.6666666666666666,4.764705882352941,4.666666666666667,18
00-0026158,J.Flacco,CLE,1,2025,2025_01_CIN_CLE,QB,290.0,1.0,31.0,47.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,18.5,0.0,0.0,1.5,1.5,0.0,0.0,1
00-0026158,J.Flacco,CLE,1,2025,2025_01_CIN_CLE,RB,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,12.666666666666666,0.25,0.3333333333333333,1.75,1.6666666666666667,0.0,0.0,2
00-0026158,J.Flacco,CLE,2,2025,2025_02_CLE_BAL,QB,199.0,1.0,25.0,47.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0,8.5,8.5,0.0,0.0,1.0,1.0,1.0,1.0,3
00-0026158,J.Flacco,CLE,2,2025,2025_02_CLE_BAL,RB,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.6,3.0,0.0,0.0,5.0,2.6666666666666665,0.0,0.0,0.6,0.3333333333333333,0.6,0.3333333333333333,4
00-0026158,J.Flacco,CLE,3,2025,2025_03_GB_CLE,QB,142.0,0.0,21.0,38.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,127.66666666666667,127.66666666666667,1.0,1.0,12.666666666666666,12.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,2.3333333333333335,5
00-0026158,J.Flacco,CLE,4,2025,2025_04_CLE_DET,QB,184.0,0.0,16.0,37.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,48.0,22.0,0.6,1.0,13.3,13.333333333333334,0.1,0.0,1.6,2.6666666666666665,9.5,6.0,6
00-0026158,J.Flacco,CLE,4,2025,2025_04_CLE_DET,RB,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,53.61538461538461,72.33333333333333,0.7692307692307693,1.3333333333333333,11.307692307692308,4.666666666666667,0.07692307692307693,0.0,1.5384615384615385,1.3333333333333333,10.153846153846153,12.333333333333334,7
00-0026158,J.Flacco,CIN,6,2025,2025_06_CIN_GB,QB,219.0,2.0,29.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8.666666666666666,8.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,3.3333333333333335,8
00-0026158,J.Flacco,CIN,7,2025,2025_07_PIT_CIN,QB,342.0,3.0,31.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9
