player_id,player_name,team,opponent,week,season,game_id,position,passing_yards,passing_tds,completions,attempts,interceptions,rushing_yards,rushing_tds,carries,receiving_yards,receiving_tds,receptions,targets,season_avg_passing_yards,l3_avg_passing_yards,season_avg_passing_tds,l3_avg_passing_tds,season_avg_rushing_yards,l3_avg_rushing_yards,season_avg_rushing_tds,l3_avg_rushing_tds,season_avg_receiving_yards,l3_avg_receiving_yards,season_avg_receiving_tds,l3_avg_receiving_tds,season_avg_receptions,l3_avg_receptions,season_avg_carries,l3_avg_carries,season_avg_completions,l3_avg_completions,season_avg_attempts,l3_avg_attempts,season_avg_targets,l3_avg_targets,season_avg_interceptions,l3_avg_interceptions,games_played
00-0026158,J.Flacco,CIN,GB,6,2025,2025_06_CIN_GB,QB,219.0,2.0,29.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,50.0,50.0,0.5,0.5,2.0,2.0,0.0,0.0,0.5,0.5,13.0,13.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,5
00-0026158,J.Flacco,CIN,PIT,7,2025,2025_07_PIT_CIN,QB,342.0,3.0,31.0,49.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,29.333333333333332,47.0,0.3333333333333333,0.3333333333333333,2.6666666666666665,3.6666666666666665,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,3.7777777777777777,5.333333333333333,0.0,0.0,6
00-0026158,J.Flacco,CIN,NYJ,8,2025,2025_08_NYJ_CIN,QB,223.0,2.0,21.0,35.0,0.0,14.0,1.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,9.0,0.4,0.0,1.2,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.3333333333333333,0.0,0.0,7
00-0026158,J.Flacco,CIN,CHI,9,2025,2025_09_CHI_CIN,QB,470.0,4.0,31.0,51.0,2.0,-1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,32.0,0.5,0.5,2.0,2.0,0.5,0.5,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,8
00-0026158,J.Flacco,CIN,PIT,11,2025,2025_11_CIN_PIT,QB,199.0,1.0,23.0,41.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-1.6666666666666667,0.0,0.0,0.0,7.833333333333333,7.666666666666667,0.0,0.0,1.0,0.6666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,1.6666666666666667,0.0,0.0,9
00-0026498,M.Stafford,LA,HOU,1,2025,2025_01_HOU_LA,QB,245.0,1.0,21.0,32.0,0.0,-2.0,0.0,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1
00-0026498,M.Stafford,LA,TEN,2,2025,2025_02_LA_TEN,QB,298.0,2.0,23.0,34.0,1.0,-6.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.333333333333336,45.333333333333336,0.0,0.0,3.6666666666666665,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,2
00-0026498,M.Stafford,LA,PHI,3,2025,2025_03_LA_PHI,QB,196.0,2.0,19.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9.142857142857142,7.0,0.0,0.0,1.1428571428571428,0.0,0.0,0.0,0.2857142857142857,0.3333333333333333,2.142857142857143,2.3333333333333335,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,3
00-0026498,M.Stafford,LA,IND,4,2025,2025_04_IND_LA,QB,375.0,3.0,29.0,44.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,4
00-0026498,M.Stafford,LA,SF,5,2025,2025_05_SF_LA,QB,389.0,3.0,30.0,48.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.25,14.333333333333334,0.125,0.0,2.25,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,2.0,0.0,0.0,5
00-0026498,M.Stafford,LA,BAL,6,2025,2025_06_LA_BAL,QB,181.0,1.0,17.0,28.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,95.0,1.0,1.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,6
00-0026498,M.Stafford,LA,JAX,7,2025,2025_07_LA_JAX,QB,182.0,5.0,21.0,33.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,20.0,20.0,0.0,0.0,1.0,1.0,8.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7
00-0026498,M.Stafford,LA,NO,9,2025,2025_09_NO_LA,QB,281.0,4.0,24.0,34.0,0.0,-4.0,0.0,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,1.3333333333333333,0.0,0.0,-0.2,0.0,0.0,0.0,0.2,0.0,2.6,1.0,0.0,0.0,0.0,0.0,0.4,0.3333333333333333,0.0,0.0,8
