game_id,week,home_team,away_team,home_q1,away_q1,home_q2,away_q2,home_q3,away_q3,home_q4,away_q4,home_total,away_total,total_points,season,game_type,home_score,away_score,home_rest,away_rest,div_game,spread_line,total_line,roof,q1_total,q1_spread,q1_home_won,h1_total,h1_spread,h1_home_won,h2_total,h2_spread,overtime,has_2pt_conversion
2025_11_DAL_LV,11,LV,DAL,6,3,3,21,0,7,7,0,16,31,47,2025,REG,16,31,7,7,False,0.0,45.64024390243903,outdoors,9,3,1,33,-15,0,14,0,0,0
2025_11_DET_PHI,11,PHI,DET,3,0,10,6,0,0,3,3,16,9,25,2025,REG,16,9,7,7,False,0.0,45.64024390243903,outdoors,3,3,1,19,7,1,6,0,0,0
2025_11_GB_NYG,11,NYG,GB,7,0,6,13,0,6,7,6,20,25,45,2025,REG,20,25,7,7,False,0.0,45.64024390243903,outdoors,7,7,1,26,0,0,19,-5,0,0
2025_11_HOU_TEN,11,TEN,HOU,3,0,0,0,3,10,7,6,13,16,29,2025,REG,13,16,7,7,False,0.0,45.64024390243903,outdoors,3,3,1,3,3,1,26,-6,0,0
2025_11_KC_DEN,11,DEN,KC,6,3,0,3,7,7,9,6,22,19,41,2025,REG,22,19,7,7,False,0.0,45.64024390243903,outdoors,9,3,1,12,0,0,29,3,0,0
2025_11_LAC_JAX,11,JAX,LAC,7,3,7,3,7,0,14,0,35,6,41,2025,REG,35,6,7,7,False,0.0,45.64024390243903,outdoors,10,4,1,20,8,1,21,21,0,0
2025_11_NYJ_NE,11,NE,NYJ,0,7,14,0,7,7,6,0,27,14,41,2025,REG,27,14,7,7,False,0.0,45.64024390243903,outdoors,7,-7,0,21,7,1,20,6,0,0
2025_11_SEA_LA,11,LA,SEA,14,3,0,6,0,3,7,7,21,19,40,2025,REG,21,19,7,7,False,0.0,45.64024390243903,outdoors,17,11,1,23,5,1,17,-3,0,0
2025_11_SF_ARI,11,ARI,SF,7,13,3,12,0,10,12,6,22,41,63,2025,REG,22,41,7,7,False,0.0,45.64024390243903,outdoors,20,-6,0,35,-15,0,28,-4,0,0
2025_11_TB_BUF,11,BUF,TB,7,3,14,17,10,6,13,6,44,32,76,2025,REG,44,32,7,7,False,0.0,45.64024390243903,outdoors,10,4,1,41,1,1,35,11,0,0
2025_11_WAS_MIA,11,MIA,WAS,3,3,3,3,0,7,7,0,13,13,26,2025,REG,13,13,7,7,False,0.0,45.64024390243903,outdoors,6,0,0,12,0,0,14,0,0,0
