season,week,team,position,full_name,gsis_id,report_status,report_primary_injury,practice_status,player,injury_status
2022,1,ARI,C,Rodney Hudson,00-0027993,,,Did Not Participate In Practice,Rodney Hudson,
2022,1,ARI,LS,Aaron Brewer,00-0028946,,,Full Participation in Practice,Aaron Brewer,
2022,1,ARI,LB,Markus Golden,00-0032127,,,Full Participation in Practice,Markus Golden,
2022,1,ARI,LB,Ezekiel Turner,00-0034490,,,Full Participation in Practice,Ezekiel Turner,
2022,1,ARI,RB,Jonathan Ward,00-0035924,,,Full Participation in Practice,Jonathan Ward,
2022,1,ARI,G,Cody Ford,00-0035238,Out,Ankle,Did Not Participate In Practice,Cody Ford,OUT
2022,1,ARI,WR,Rondale Moore,00-0036936,Out,Hamstring,Did Not Participate In Practice,Rondale Moore,OUT
2022,1,ARI,CB,Trayvon Mullen,00-0035695,Out,Toe,Did Not Participate In Practice,Trayvon Mullen,OUT
2022,1,ARI,CB,Byron Murphy,00-0035236,Questionable,Illness,Did Not Participate In Practice,Byron Murphy,QUESTIONABLE
2022,1,ARI,DE,J.J. Watt,00-0027949,Questionable,Calf,Did Not Participate In Practice,J.J. Watt,QUESTIONABLE
2022,1,ARI,TE,Zach Ertz,00-0030061,Questionable,Calf,Limited Participation in Practice,Zach Ertz,QUESTIONABLE
2022,1,ARI,G,Justin Pugh,00-0030585,Questionable,Neck,Limited Participation in Practice,Justin Pugh,QUESTIONABLE
2022,1,ATL,TE,Parker Hesse,00-0035572,,,Did Not Participate In Practice,Parker Hesse,
2022,1,ATL,CB,Darren Hall,00-0036956,Questionable,Quadricep,Limited Participation in Practice,Darren Hall,QUESTIONABLE
2022,1,ATL,WR,Drake London,00-0037238,Questionable,Knee,Limited Participation in Practice,Drake London,QUESTIONABLE
2022,1,BAL,DE,Calais Campbell,00-0026190,,,Did Not Participate In Practice,Calais Campbell,
2022,1,BAL,LB,Justin Houston,00-0028008,,,Did Not Participate In Practice,Justin Houston,
2022,1,BAL,TE,Nick Boyle,00-0031598,,,Full Participation in Practice,Nick Boyle,
2022,1,BAL,DT,Travis Jones,00-0037756,Out,Knee,Did Not Participate In Practice,Travis Jones,OUT
2022,1,BAL,T,Ronnie Stanley,00-0032965,Doubtful,Ankle,Limited Participation in Practice,Ronnie Stanley,DOUBTFUL
2022,1,BAL,CB,Marcus Peters,00-0032165,Questionable,Not injury related - resting player,Did Not Participate In Practice,Marcus Peters,QUESTIONABLE
2022,1,BAL,RB,J.K. Dobbins,00-0036158,Questionable,Knee,Limited Participation in Practice,J.K. Dobbins,QUESTIONABLE
2022,1,BUF,WR,Isaiah McKenzie,00-0033466,,,Full Participation in Practice,Isaiah McKenzie,
2022,1,BUF,S,Jordan Poyer,00-0030114,,,Full Participation in Practice,Jordan Poyer,
2022,1,BUF,DT,Tim Settle,00-0034397,,,Full Participation in Practice,Tim Settle,
2022,1,BUF,WR,Stefon Diggs,00-0031588,,,Limited Participation in Practice,Stefon Diggs,
2022,1,BUF,T,Tommy Doyle,00-0036560,Questionable,Foot,Limited Participation in Practice,Tommy Doyle,QUESTIONABLE
2022,1,BUF,TE,Quintin Morris,00-0036590,Questionable,Hamstring,Limited Participation in Practice,Quintin Morris,QUESTIONABLE
