season,week,team,position,full_name,gsis_id,report_status,report_primary_injury,practice_status,player,injury_status
2023,1,ARI,LB,Dennis Gardeck,00-0034473,,,Full Participation in Practice,Dennis Gardeck,
2023,1,ARI,T,Kelvin Beachum,00-0029316,Out,Hand,Did Not Participate In Practice,Kelvin Beachum,OUT
2023,1,ARI,WR,Marquise Brown,00-0035662,Questionable,Hamstring,Limited Participation in Practice,Marquise Brown,QUESTIONABLE
2023,1,ARI,TE,Zach Ertz,00-0030061,Questionable,Knee,Limited Participation in Practice,Zach Ertz,QUESTIONABLE
2023,1,ATL,TE,Jonnu Smith,00-0033858,,,Did Not Participate In Practice,Jonnu Smith,
2023,1,ATL,CB,Jeff Okudah,00-0036274,Out,Foot,Did Not Participate In Practice,Jeff Okudah,OUT
2023,1,ATL,WR,KhaDarel Hodge,00-0034854,Questionable,Ankle,Full Participation in Practice,KhaDarel Hodge,QUESTIONABLE
2023,1,ATL,RB,Cordarrelle Patterson,00-0030578,Questionable,Thigh,Limited Participation in Practice,Cordarrelle Patterson,QUESTIONABLE
2023,1,BAL,WR,Odell Beckham,00-0031235,,,Full Participation in Practice,Odell Beckham,
2023,1,BAL,T,Ronnie Stanley,00-0032965,,,Full Participation in Practice,Ronnie Stanley,
2023,1,BAL,CB,Marlon Humphrey,00-0033281,Out,Foot,Did Not Participate In Practice,Marlon Humphrey,OUT
2023,1,BAL,TE,Mark Andrews,00-0034753,Questionable,Quadricep,Limited Participation in Practice,Mark Andrews,QUESTIONABLE
2023,1,BUF,S,Micah Hyde,00-0030090,,,Full Participation in Practice,Micah Hyde,
2023,1,CAR,S,Sam Franklin,00-0036037,,,Full Participation in Practice,Sam Franklin,
2023,1,CAR,WR,Terrace Marshall,00-0036955,,,Full Participation in Practice,Terrace Marshall,
2023,1,CAR,WR,Ihmir Smith-Marsette,00-0036635,,,Full Participation in Practice,Ihmir Smith-Marsette,
2023,1,CAR,DT,DeShawn Williams,00-0031795,,,Full Participation in Practice,DeShawn Williams,
2023,1,CAR,WR,D.J. Chark,00-0034777,Out,Hamstring,Limited Participation in Practice,D.J. Chark,OUT
2023,1,CAR,WR,Adam Thielen,00-0030035,Questionable,Ankle,Limited Participation in Practice,Adam Thielen,QUESTIONABLE
2023,1,CHI,S,Jaquan Brisker,00-0038135,,,Full Participation in Practice,Jaquan Brisker,
2023,1,CHI,G,Nate Davis,00-0035649,,,Full Participation in Practice,Nate Davis,
2023,1,CHI,S,Eddie Jackson,00-0033784,,,Full Participation in Practice,Eddie Jackson,
2023,1,CHI,TE,Marcedes Lewis,00-0024243,,,Full Participation in Practice,Marcedes Lewis,
2023,1,CHI,DE,DeMarcus Walker,00-0033782,,,Full Participation in Practice,DeMarcus Walker,
2023,1,CHI,TE,Robert Tonyan,00-0033757,Questionable,Back,"
    ",Robert Tonyan,QUESTIONABLE
2023,1,CHI,LB,Dylan Cole,00-0033765,Questionable,Hamstring,Limited Participation in Practice,Dylan Cole,QUESTIONABLE
2023,1,CIN,WR,Tyler Boyd,00-0033009,,,Full Participation in Practice,Tyler Boyd,
2023,1,CIN,QB,Joe Burrow,00-0036442,,,Full Participation in Practice,Joe Burrow,
2023,1,CIN,G,D'Ante Smith,00-0036852,,,Full Participation in Practice,D'Ante Smith,
2023,1,CIN,CB,Chidobe Awuzie,00-0033548,,,Limited Participation in Practice,Chidobe Awuzie,
2023,1,CIN,DE,Joseph Ossai,00-0036902,Out,Ankle,Did Not Participate In Practice,Joseph Ossai,OUT
2023,1,CLE,G,Joel Bitonio,00-0031426,,,Full Participation in Practice,Joel Bitonio,
2023,1,CLE,T,Jack Conklin,00-0033057,,,Full Participation in Practice,Jack Conklin,
2023,1,CLE,WR,Amari Cooper,00-0031544,,,Full Participation in Practice,Amari Cooper,
2023,1,CLE,CB,Denzel Ward,00-0034856,,,Full Participation in Practice,Denzel Ward,
2023,1,CLE,DE,Alex Wright,00-0037251,,,Full Participation in Practice,Alex Wright,
2023,1,CLE,WR,Marquise Goodwin,00-0030068,,,Limited Participation in Practice,Marquise Goodwin,
2023,1,CLE,S,Juan Thornhill,00-0035625,Questionable,Calf,Did Not Participate In Practice,Juan Thornhill,QUESTIONABLE
