season,week,team,position,full_name,gsis_id,report_status,report_primary_injury,practice_status,player,injury_status
2021,1,ARI,TE,Darrell Daniels,00-0033258,,,Full Participation in Practice,Darrell Daniels,
2021,1,ARI,LB,Dennis Gardeck,00-0034473,Out,Knee,Did Not Participate In Practice,Dennis Gardeck,OUT
2021,1,ARI,WR,Antoine Wesley,00-0035126,Out,Illness,Did Not Participate In Practice,Antoine Wesley,OUT
2021,1,ATL,DT,Grady Jarrett,00-0031583,,,Did Not Participate In Practice,Grady Jarrett,
2021,1,ATL,LB,Brandon Copeland,00-0030010,,,Full Participation in Practice,Brandon Copeland,
2021,1,BAL,TE,Nick Boyle,00-0031598,,,Did Not Participate In Practice,Nick Boyle,
2021,1,BAL,DE,Calais Campbell,00-0026190,,,Did Not Participate In Practice,Calais Campbell,
2021,1,BAL,T,Ronnie Stanley,00-0032965,,,Did Not Participate In Practice,Ronnie Stanley,
2021,1,BAL,DT,Brandon Williams,00-0030511,,,Did Not Participate In Practice,Brandon Williams,
2021,1,BAL,RB,Gus Edwards,00-0034184,,,Limited Participation in Practice,Gus Edwards,
2021,1,BAL,CB,Marcus Peters,00-0032165,,,Limited Participation in Practice,Marcus Peters,
2021,1,BAL,DE,Derek Wolfe,00-0029586,Out,Back,Did Not Participate In Practice,Derek Wolfe,OUT
2021,1,BAL,LB,Daelin Hayes,00-0036562,Questionable,Knee,Full Participation in Practice,Daelin Hayes,QUESTIONABLE
2021,1,BAL,CB,Jimmy Smith,00-0027965,Questionable,Ankle,Limited Participation in Practice,Jimmy Smith,QUESTIONABLE
2021,1,BUF,DE,Mario Addison,00-0028339,,,Did Not Participate In Practice,Mario Addison,
2021,1,BUF,CB,Taron Johnson,00-0034376,,,Full Participation in Practice,Taron Johnson,
2021,1,BUF,WR,Isaiah McKenzie,00-0033466,,,Full Participation in Practice,Isaiah McKenzie,
2021,1,BUF,DT,Harrison Phillips,00-0034782,,,Full Participation in Practice,Harrison Phillips,
2021,1,BUF,DT,Star Lotulelei,00-0030455,Out,Calf,Did Not Participate In Practice,Star Lotulelei,OUT
2021,1,BUF,WR,Emmanuel Sanders,00-0027685,Questionable,Foot,Limited Participation in Practice,Emmanuel Sanders,QUESTIONABLE
2021,1,CAR,WR,Shi Smith,00-0036572,Out,Shoulder,Did Not Participate In Practice,Shi Smith,OUT
2021,1,CHI,CB,Xavier Crawford,00-0035293,,,Full Participation in Practice,Xavier Crawford,
2021,1,CHI,TE,Jimmy Graham,00-0027696,,,Full Participation in Practice,Jimmy Graham,
2021,1,CHI,TE,J.P. Holtz,00-0032986,,,Full Participation in Practice,J.P. Holtz,
2021,1,CHI,DT,Khyiris Tonga,00-0036909,,,Full Participation in Practice,Khyiris Tonga,
2021,1,CHI,RB,Damien Williams,00-0030874,,,Full Participation in Practice,Damien Williams,
2021,1,CHI,DT,Eddie Goldman,00-0031551,Doubtful,Knee,Did Not Participate In Practice,Eddie Goldman,DOUBTFUL
2021,1,CHI,S,Deon Bush,00-0032774,Questionable,Shoulder,Full Participation in Practice,Deon Bush,QUESTIONABLE
2021,1,CHI,LB,Joel Iyiegbuniwe,00-0034372,Questionable,Shoulder,Full Participation in Practice,Joel Iyiegbuniwe,QUESTIONABLE
2021,1,CHI,S,Eddie Jackson,00-0033784,Questionable,Wrist,Full Participation in Practice,Eddie Jackson,QUESTIONABLE
2021,1,CHI,LB,Khalil Mack,00-0031040,Questionable,Groin,Full Participation in Practice,Khalil Mack,QUESTIONABLE
2021,1,CHI,WR,Darnell Mooney,00-0036309,Questionable,Back,Full Participation in Practice,Darnell Mooney,QUESTIONABLE
2021,1,CHI,LB,Robert Quinn,00-0027952,Questionable,Back,Full Participation in Practice,Robert Quinn,QUESTIONABLE
2021,1,CHI,LS,Patrick Scales,00-0028284,Questionable,Ankle,Full Participation in Practice,Patrick Scales,QUESTIONABLE
2021,1,CHI,S,Tashaun Gipson,00-0028924,Questionable,Back,Limited Participation in Practice,Tashaun Gipson,QUESTIONABLE
2021,1,CIN,C,Trey Hill,00-0036856,,,Full Participation in Practice,Trey Hill,
2021,1,CIN,TE,Mitchell Wilcox,00-0035771,,,Full Participation in Practice,Mitchell Wilcox,
2021,1,CIN,CB,Trae Waynes,00-0031546,Out,Hamstring,Did Not Participate In Practice,Trae Waynes,OUT
2021,1,CLE,WR,Rashard Higgins,00-0032977,,,Full Participation in Practice,Rashard Higgins,
2021,1,CLE,CB,Troy Hill,00-0031785,,,Full Participation in Practice,Troy Hill,
2021,1,CLE,LB,Sione Takitaki,00-0035646,,,Full Participation in Practice,Sione Takitaki,
2021,1,CLE,CB,Greedy Williams,00-0035638,,,Full Participation in Practice,Greedy Williams,
2021,1,CLE,LB,Tony Fields,00-0036634,Out,Illness,Did Not Participate In Practice,Tony Fields,OUT
2021,1,CLE,T,Michael Dunn,00-0033995,Out,Back,Limited Participation in Practice,Michael Dunn,OUT
2021,1,CLE,S,Ronnie Harrison,00-0034779,Questionable,Ankle,Full Participation in Practice,Ronnie Harrison,QUESTIONABLE
2021,1,CLE,K,Chase McLaughlin,00-0035358,Questionable,right Hamstring,Full Participation in Practice,Chase McLaughlin,QUESTIONABLE
2021,1,CLE,WR,Odell Beckham,00-0031235,Questionable,Knee,Limited Participation in Practice,Odell Beckham,QUESTIONABLE
2021,1,CLE,DE,Jadeveon Clowney,00-0031364,Questionable,Illness,Limited Participation in Practice,Jadeveon Clowney,QUESTIONABLE
2021,1,CLE,S,Grant Delpit,00-0036282,Questionable,Hamstring,Limited Participation in Practice,Grant Delpit,QUESTIONABLE
2021,1,CLE,C,J.C. Tretter,00-0030076,Questionable,Knee,Limited Participation in Practice,J.C. Tretter,QUESTIONABLE
2021,1,DAL,DE,Tarell Basham,00-0033917,,,Full Participation in Practice,Tarell Basham,
2021,1,DAL,T,La'el Collins,00-0031534,,,Full Participation in Practice,La'el Collins,
2021,1,DAL,DE,Chauncey Golston,00-0036982,,,Full Participation in Practice,Chauncey Golston,
2021,1,DAL,CB,C.J. Goodwin,00-0031357,,,Full Participation in Practice,C.J. Goodwin,
2021,1,DAL,DE,Demarcus Lawrence,00-0031411,,,Full Participation in Practice,Demarcus Lawrence,
2021,1,DAL,LS,Jake McQuaide,00-0028394,,,Full Participation in Practice,Jake McQuaide,
2021,1,DAL,T,Ty Nsekhe,00-0029709,,,Full Participation in Practice,Ty Nsekhe,
2021,1,DAL,QB,Dak Prescott,00-0033077,,,Full Participation in Practice,Dak Prescott,
2021,1,DAL,S,Donovan Wilson,00-0035301,,,Full Participation in Practice,Donovan Wilson,
2021,1,DEN,TE,Noah Fant,00-0035644,,,Full Participation in Practice,Noah Fant,
2021,1,DEN,LB,Von Miller,00-0027940,,,Full Participation in Practice,Von Miller,
2021,1,DEN,TE,Albert Okwuegbunam,00-0036423,,,Full Participation in Practice,Albert Okwuegbunam,
2021,1,DEN,WR,Courtland Sutton,00-0034348,,,Full Participation in Practice,Courtland Sutton,
2021,1,DEN,LB,Bradley Chubb,00-0034832,Questionable,Ankle,Limited Participation in Practice,Bradley Chubb,QUESTIONABLE
2021,1,DET,TE,Darren Fells,00-0029738,,,Full Participation in Practice,Darren Fells,
2021,1,DET,TE,T.J. Hockenson,00-0035229,,,Full Participation in Practice,T.J. Hockenson,
2021,1,DET,RB,D'Andre Swift,00-0036275,,,Full Participation in Practice,D'Andre Swift,
2021,1,DET,T,Taylor Decker,00-0032381,Out,Finger,Did Not Participate In Practice,Taylor Decker,OUT
2021,1,DET,DE,Michael Brockers,00-0029630,Questionable,Shoulder,Limited Participation in Practice,Michael Brockers,QUESTIONABLE
2021,1,DET,DT,Levi Onwuzurike,00-0036954,Questionable,Hip,Limited Participation in Practice,Levi Onwuzurike,QUESTIONABLE
2021,1,DET,CB,A.J. Parker,00-0036752,Questionable,Shoulder,Limited Participation in Practice,A.J. Parker,QUESTIONABLE
2021,1,DET,DE,Nicholas Williams,00-0030500,Questionable,Elbow,Limited Participation in Practice,Nicholas Williams,QUESTIONABLE
2021,1,GB,TE,Marcedes Lewis,00-0024243,,,Full Participation in Practice,Marcedes Lewis,
2021,1,GB,LB,Preston Smith,00-0031935,,,Full Participation in Practice,Preston Smith,
2021,1,GB,S,Vernon Scott,00-0036243,Out,Hamstring,Did Not Participate In Practice,Vernon Scott,OUT
2021,1,GB,LB,Za'Darius Smith,00-0031576,Questionable,Back,Did Not Participate In Practice,Za'Darius Smith,QUESTIONABLE
2021,1,GB,DT,Tyler Lancaster,00-0034185,Questionable,Back,Limited Participation in Practice,Tyler Lancaster,QUESTIONABLE
2021,1,HOU,DT,Maliek Collins,00-0033131,,,Full Participation in Practice,Maliek Collins,
2021,1,HOU,DE,Whitney Mercilus,00-0029643,,,Full Participation in Practice,Whitney Mercilus,
2021,1,HOU,CB,Lonnie Johnson,00-0035244,Out,Thigh,Did Not Participate In Practice,Lonnie Johnson,OUT
2021,1,HOU,QB,Deshaun Watson,00-0033537,Out,Not injury related - personal matter,Did Not Participate In Practice,Deshaun Watson,OUT
2021,1,HOU,DE,Jonathan Greenard,00-0036224,Questionable,Illness,Did Not Participate In Practice,Jonathan Greenard,QUESTIONABLE
2021,1,HOU,LB,Kevin Pierre-Louis,00-0031308,Questionable,Thigh,Did Not Participate In Practice,Kevin Pierre-Louis,QUESTIONABLE
2021,1,IND,LB,Shaquille Leonard,00-0034846,,,Did Not Participate In Practice,Shaquille Leonard,
2021,1,IND,WR,Parris Campbell,00-0035639,,,Full Participation in Practice,Parris Campbell,
2021,1,IND,TE,Jack Doyle,00-0030181,,,Full Participation in Practice,Jack Doyle,
2021,1,IND,QB,Carson Wentz,00-0032950,,,Full Participation in Practice,Carson Wentz,
2021,1,IND,CB,Xavier Rhodes,00-0030575,Out,Calf,Did Not Participate In Practice,Xavier Rhodes,OUT
2021,1,IND,DE,Kemoko Turay,00-0034354,Out,Groin,Did Not Participate In Practice,Kemoko Turay,OUT
2021,1,IND,T,Eric Fisher,00-0030584,Out,Achilles,Limited Participation in Practice,Eric Fisher,OUT
2021,1,IND,G,Quenton Nelson,00-0034342,Questionable,Foot,Full Participation in Practice,Quenton Nelson,QUESTIONABLE
2021,1,IND,G,Danny Pinter,00-0036215,Questionable,Foot,Full Participation in Practice,Danny Pinter,QUESTIONABLE
2021,1,JAX,CB,Tre Herndon,00-0034516,Out,Knee,Did Not Participate In Practice,Tre Herndon,OUT
2021,1,JAX,CB,Tyson Campbell,00-0036974,Questionable,Calf,Limited Participation in Practice,Tyson Campbell,QUESTIONABLE
2021,1,JAX,DE,Jordan Smith,00-0036868,Questionable,Knee,Limited Participation in Practice,Jordan Smith,QUESTIONABLE
2021,1,KC,G,Laurent Duvernay-Tardif,00-0031022,,,Full Participation in Practice,Laurent Duvernay-Tardif,
2021,1,KC,RB,Clyde Edwards-Helaire,00-0036360,,,Full Participation in Practice,Clyde Edwards-Helaire,
2021,1,KC,WR,Mecole Hardman,00-0035140,,,Full Participation in Practice,Mecole Hardman,
2021,1,KC,T,Mike Remmers,00-0029164,,,Full Participation in Practice,Mike Remmers,
2021,1,KC,G,Trey Smith,00-0036660,,,Full Participation in Practice,Trey Smith,
2021,1,KC,C,Austin Blythe,00-0032455,Out,Abdomen,Did Not Participate In Practice,Austin Blythe,OUT
2021,1,KC,S,Tyrann Mathieu,00-0030459,Questionable,Illness,"
    ",Tyrann Mathieu,QUESTIONABLE
2021,1,KC,DE,Frank Clark,00-0032210,Questionable,Hamstring,Limited Participation in Practice,Frank Clark,QUESTIONABLE
2021,1,KC,DT,Derrick Nnadi,00-0034818,Questionable,Hip,Limited Participation in Practice,Derrick Nnadi,QUESTIONABLE
2021,1,LA,WR,DeSean Jackson,00-0026189,,,Did Not Participate In Practice,DeSean Jackson,
2021,1,LA,LB,Terrell Lewis,00-0036419,,,Full Participation in Practice,Terrell Lewis,
2021,1,LA,DT,A'Shawn Robinson,00-0032889,,,Full Participation in Practice,A'Shawn Robinson,
2021,1,LA,T,Andrew Whitworth,00-0024270,,,Full Participation in Practice,Andrew Whitworth,
2021,1,LA,WR,Ben Skowronek,00-0036862,Doubtful,Forearm,Limited Participation in Practice,Ben Skowronek,DOUBTFUL
2021,1,LAC,T,Bryan Bulaga,00-0027875,,,Full Participation in Practice,Bryan Bulaga,
2021,1,LAC,RB,Gabe Nabers,00-0035908,,,Full Participation in Practice,Gabe Nabers,
2021,1,LAC,S,Trey Marshall,00-0034111,Out,Ankle,Did Not Participate In Practice,Trey Marshall,OUT
2021,1,LAC,RB,Austin Ekeler,00-0033699,Questionable,Hamstring,Limited Participation in Practice,Austin Ekeler,QUESTIONABLE
2021,1,LV,DE,Clelin Ferrell,00-0035692,,,Full Participation in Practice,Clelin Ferrell,
2021,1,LV,T,Alex Leatherwood,00-0036892,,,Full Participation in Practice,Alex Leatherwood,
2021,1,LV,DE,Carl Nassib,00-0033129,,,Full Participation in Practice,Carl Nassib,
2021,1,LV,RB,Josh Jacobs,00-0035700,,,Limited Participation in Practice,Josh Jacobs,
2021,1,LV,G,Richie Incognito,00-0023516,Out,Calf,Did Not Participate In Practice,Richie Incognito,OUT
2021,1,LV,CB,Roderic Teamer,00-0035437,Doubtful,Shoulder,Did Not Participate In Practice,Roderic Teamer,DOUBTFUL
2021,1,MIA,RB,Salvon Ahmed,00-0036020,,,Full Participation in Practice,Salvon Ahmed,
2021,1,MIA,T,Liam Eichenberg,00-0037010,,,Full Participation in Practice,Liam Eichenberg,
2021,1,MIA,S,Clayton Fejedelem,00-0032807,,,Full Participation in Practice,Clayton Fejedelem,
2021,1,MIA,WR,DeVante Parker,00-0031547,,,Full Participation in Practice,DeVante Parker,
2021,1,MIA,LB,Elandon Roberts,00-0032442,,,Full Participation in Practice,Elandon Roberts,
2021,1,MIA,WR,Albert Wilson,00-0030669,,,Full Participation in Practice,Albert Wilson,
2021,1,MIA,T,Austin Jackson,00-0036248,Questionable,Illness,"
    ",Austin Jackson,QUESTIONABLE
2021,1,MIA,WR,Preston Williams,00-0035350,Questionable,Foot,Limited Participation in Practice,Preston Williams,QUESTIONABLE
2021,1,MIN,TE,Tyler Conklin,00-0034270,,,Full Participation in Practice,Tyler Conklin,
2021,1,MIN,RB,Alexander Mattison,00-0034972,,,Full Participation in Practice,Alexander Mattison,
2021,1,MIN,S,Josh Metellus,00-0036348,,,Full Participation in Practice,Josh Metellus,
2021,1,MIN,WR,Dede Westbrook,00-0033839,,,Full Participation in Practice,Dede Westbrook,
2021,1,MIN,LB,Anthony Barr,00-0031256,Out,Knee,Did Not Participate In Practice,Anthony Barr,OUT
2021,1,MIN,T,Christian Darrisaw,00-0036616,Out,Groin,Limited Participation in Practice,Christian Darrisaw,OUT
2021,1,NE,WR,Malcolm Perry,00-0036245,Out,Foot,Did Not Participate In Practice,Malcolm Perry,OUT
2021,1,NE,WR,Nelson Agholor,00-0031549,Questionable,Ankle,Limited Participation in Practice,Nelson Agholor,QUESTIONABLE
2021,1,NE,T,Yodny Cajuste,00-0035252,Questionable,Hamstring,Limited Participation in Practice,Yodny Cajuste,QUESTIONABLE
2021,1,NE,S,Jalen Mills,00-0032803,Questionable,Ankle,Limited Participation in Practice,Jalen Mills,QUESTIONABLE
2021,1,NE,LB,Ronnie Perkins,00-0036978,Questionable,Shoulder,Limited Participation in Practice,Ronnie Perkins,QUESTIONABLE
2021,1,NO,T,Terron Armstead,00-0030067,,,Did Not Participate In Practice,Terron Armstead,
2021,1,NO,CB,Ken Crawley,00-0032875,Out,Hamstring,Did Not Participate In Practice,Ken Crawley,OUT
2021,1,NO,WR,Tre'Quan Smith,00-0034765,Out,Hamstring,Did Not Participate In Practice,Tre'Quan Smith,OUT
2021,1,NO,T,James Hurst,00-0030694,Questionable,Knee,Did Not Participate In Practice,James Hurst,QUESTIONABLE
2021,1,NO,CB,Marshon Lattimore,00-0033874,Questionable,Knee,Full Participation in Practice,Marshon Lattimore,QUESTIONABLE
2021,1,NYG,WR,Kenny Golladay,00-0033932,,,Limited Participation in Practice,Kenny Golladay,
