season,week,team,position,full_name,gsis_id,report_status,report_primary_injury,practice_status,player,injury_status
2024,1,ARI,WR,Xavier Weaver,00-0039521,Out,Oblique,Did Not Participate In Practice,Xavier Weaver,OUT
2024,1,ARI,S,Joey Blount,00-0037141,Questionable,Back,Limited Participation in Practice,Joey Blount,QUESTIONABLE
2024,1,ARI,TE,Tip Reiman,00-0039737,Questionable,Ankle,Limited Participation in Practice,Tip Reiman,QUESTIONABLE
2024,1,ATL,DT,Grady Jarrett,00-0031583,,,Did Not Participate In Practice,Grady Jarrett,
2024,1,ATL,DT,David Onyemata,00-0033051,,,Did Not Participate In Practice,David Onyemata,
2024,1,ATL,LB,Nate Landman,00-0037587,,,Full Participation in Practice,Nate Landman,
2024,1,ATL,TE,Kyle Pitts,00-0036970,,,Full Participation in Practice,Kyle Pitts,
2024,1,ATL,DE,Ta'Quon Graham,00-0036948,,,Limited Participation in Practice,Ta'Quon Graham,
2024,1,ATL,T,Jake Matthews,00-0031279,,,Limited Participation in Practice,Jake Matthews,
2024,1,ATL,CB,Antonio Hamilton,00-0032933,Out,Groin,Did Not Participate In Practice,Antonio Hamilton,OUT
2024,1,BAL,LB,Kyle Van Noy,00-0031360,Out,gameday concussion protocol evaluation,"
    ",Kyle Van Noy,OUT
2024,1,BAL,LB,Adisa Isaac,00-0039791,Out,Hamstring,Did Not Participate In Practice,Adisa Isaac,OUT
2024,1,BAL,RB,Rasheen Ali,00-0039796,Doubtful,Neck,Limited Participation in Practice,Rasheen Ali,DOUBTFUL
2024,1,BUF,S,Cole Bishop,00-0039872,,,Full Participation in Practice,Cole Bishop,
2024,1,BUF,TE,Quintin Morris,00-0036590,,,Full Participation in Practice,Quintin Morris,
2024,1,BUF,WR,Curtis Samuel,00-0033282,,,Full Participation in Practice,Curtis Samuel,
2024,1,BUF,QB,Mitchell Trubisky,00-0033869,,,Full Participation in Practice,Mitchell Trubisky,
2024,1,BUF,DE,Javon Solomon,00-0039879,Out,Oblique,Did Not Participate In Practice,Javon Solomon,OUT
2024,1,BUF,DE,Dawuane Smoot,00-0033907,Questionable,Toe,Did Not Participate In Practice,Dawuane Smoot,QUESTIONABLE
2024,1,CAR,CB,Troy Hill,00-0031785,,,Full Participation in Practice,Troy Hill,
2024,1,CAR,RB,Miles Sanders,00-0035243,,,Full Participation in Practice,Miles Sanders,
2024,1,CAR,TE,Ian Thomas,00-0034365,Out,Calf,Did Not Participate In Practice,Ian Thomas,OUT
2024,1,CAR,TE,Tommy Tremble,00-0037005,Out,Hamstring,Did Not Participate In Practice,Tommy Tremble,OUT
2024,1,CAR,T,Yosuah Nijman,00-0035084,Questionable,Tibia,Limited Participation in Practice,Yosuah Nijman,QUESTIONABLE
2024,1,CHI,T,Kiran Amegadjie,00-0039822,,,Full Participation in Practice,Kiran Amegadjie,
2024,1,CHI,C,Ryan Bates,00-0035382,,,Full Participation in Practice,Ryan Bates,
2024,1,CHI,RB,Roschon Johnson,00-0039021,,,Full Participation in Practice,Roschon Johnson,
2024,1,CHI,TE,Marcedes Lewis,00-0024243,,,Full Participation in Practice,Marcedes Lewis,
2024,1,CHI,DT,Zacch Pickens,00-0038937,Out,Groin,Did Not Participate In Practice,Zacch Pickens,OUT
2024,1,CHI,DE,Darrell Taylor,00-0036413,Questionable,Foot,Did Not Participate In Practice,Darrell Taylor,QUESTIONABLE
2024,1,CHI,WR,Keenan Allen,00-0030279,Questionable,Heel,Full Participation in Practice,Keenan Allen,QUESTIONABLE
2024,1,CHI,DE,Montez Sweat,00-0035647,Questionable,Toe,Full Participation in Practice,Montez Sweat,QUESTIONABLE
2024,1,CHI,DE,DeMarcus Walker,00-0033782,Questionable,Groin,Limited Participation in Practice,DeMarcus Walker,QUESTIONABLE
2024,1,CIN,QB,Joe Burrow,00-0036442,,,Full Participation in Practice,Joe Burrow,
2024,1,CIN,WR,Jermaine Burton,00-0039810,,,Full Participation in Practice,Jermaine Burton,
2024,1,CIN,LB,Akeem Davis-Gaither,00-0036298,,,Full Participation in Practice,Akeem Davis-Gaither,
2024,1,CIN,DT,Kris Jenkins,00-0039908,Out,Thumb,Did Not Participate In Practice,Kris Jenkins,OUT
2024,1,CIN,T,Amarius Mims,00-0039925,Out,Pectoral,Did Not Participate In Practice,Amarius Mims,OUT
2024,1,CIN,WR,Tee Higgins,00-0036410,Doubtful,Hamstring,Did Not Participate In Practice,Tee Higgins,DOUBTFUL
2024,1,CIN,WR,Ja'Marr Chase,00-0036900,Questionable,Not injury related - resting player,Full Participation in Practice,Ja'Marr Chase,QUESTIONABLE
2024,1,CLE,LB,Jordan Hicks,00-0032129,,,Full Participation in Practice,Jordan Hicks,
