season,week,team,position,full_name,gsis_id,report_status,report_primary_injury,practice_status,player,injury_status
2020.0,1.0,CHI,WR,Javon Wims,00-0034426,Questionable,Achilles,Full Participation in Practice,Javon Wims,QUESTIONABLE
2020.0,1.0,CHI,LB,Khalil Mack,00-0031040,Questionable,Knee,Limited Participation in Practice,Khalil Mack,QUESTIONABLE
2020.0,1.0,CIN,DT,Mike Daniels,00-0029284,,,Full Participation in Practice,Mike Daniels,
2020.0,1.0,CIN,DE,Carlos Dunlap,00-0027662,,,Full Participation in Practice,Carlos Dunlap,
2020.0,1.0,CIN,CB,Darius Phillips,00-0034683,,,Full Participation in Practice,Darius Phillips,
2020.0,1.0,CIN,C,Billy Price,00-0034762,,,Full Participation in Practice,Billy Price,
2020.0,1.0,CIN,DT,Geno Atkins,00-0027720,Out,Shoulder,Did Not Participate In Practice,Geno Atkins,OUT
2020.0,1.0,CIN,S,Shawn Williams,00-0030471,Out,Calf,Did Not Participate In Practice,Shawn Williams,OUT
2020.0,1.0,CIN,CB,LeShaun Sims,00-0032783,Doubtful,Not Injury Related,Did Not Participate In Practice,LeShaun Sims,DOUBTFUL
2020.0,1.0,CLE,T,Christopher Hubbard,00-0029963,Out,Ankle,Did Not Participate In Practice,Christopher Hubbard,OUT
2020.0,1.0,CLE,CB,Kevin Johnson,00-0031548,Out,Liver,Did Not Participate In Practice,Kevin Johnson,OUT
2020.0,1.0,CLE,CB,Greedy Williams,00-0035638,Out,Shoulder,Did Not Participate In Practice,Greedy Williams,OUT
2020.0,1.0,CLE,LB,Mack Wilson,00-0035144,Out,Knee,Did Not Participate In Practice,Mack Wilson,OUT
2020.0,1.0,CLE,CB,M.J. Stewart,00-0034355,Questionable,Hamstring,Limited Participation in Practice,M.J. Stewart,QUESTIONABLE
2020.0,1.0,CLE,C,J.C. Tretter,00-0030076,Questionable,Knee,Limited Participation in Practice,J.C. Tretter,QUESTIONABLE
2020.0,1.0,DAL,CB,Chidobe Awuzie,00-0033548,,,Full Participation in Practice,Chidobe Awuzie,
2020.0,1.0,DAL,WR,Amari Cooper,00-0031544,,,Full Participation in Practice,Amari Cooper,
2020.0,1.0,DAL,LB,Luke Gifford,00-0035413,,,Full Participation in Practice,Luke Gifford,
2020.0,1.0,DAL,CB,Jourdan Lewis,00-0033928,Out,Ankle,Did Not Participate In Practice,Jourdan Lewis,OUT
2020.0,1.0,DEN,LB,Bradley Chubb,00-0034832,,,Full Participation in Practice,Bradley Chubb,
2020.0,1.0,DEN,G,Graham Glasgow,00-0032395,,,Full Participation in Practice,Graham Glasgow,
2020.0,1.0,DEN,S,Trey Marshall,00-0034111,,,Full Participation in Practice,Trey Marshall,
2020.0,1.0,DEN,TE,Albert Okwuegbunam,00-0036423,,,Full Participation in Practice,Albert Okwuegbunam,
2020.0,1.0,DEN,LB,Mark Barron,00-0029670,Out,Hamstring,Did Not Participate In Practice,Mark Barron,OUT
2020.0,1.0,DEN,LB,Von Miller,00-0027940,Out,Ankle,Did Not Participate In Practice,Von Miller,OUT
2020.0,1.0,DEN,WR,Courtland Sutton,00-0034348,Questionable,Shoulder,Did Not Participate In Practice,Courtland Sutton,QUESTIONABLE
2020.0,1.0,DEN,WR,K.J. Hamler,00-0036412,Questionable,Hamstring,Limited Participation in Practice,K.J. Hamler,QUESTIONABLE
2020.0,1.0,DET,RB,D'Andre Swift,00-0036275,,,Full Participation in Practice,D'Andre Swift,
2020.0,1.0,DET,TE,Hunter Bryant,00-0036008,Out,Hamstring,Did Not Participate In Practice,Hunter Bryant,OUT
